date and time reported,date observed,County,City,Habitat,firefly count (estimate)
06/12/2021 - 10:31pm,6/12/2021,Rich,Garden city,Marsh,5
04/30/2015 - 9:04pm,7/3/2014,Beaver,beaver,marsh/slough/pasture,3
07/22/2014 - 6:31pm,7/6/2014,Box Elder,Willard,Pond/Creek with trees and grassy area,3
04/30/2015 - 9:22am,6/27/2014,Box Elder,Perry,wetland,2
06/02/2015 - 6:09pm,7/4/2014,Box Elder,Brigham City,pasture,
06/02/2015 - 11:41pm,6/1/2015,Box Elder,Perry,Pasture,
06/13/2015 - 1:01am,6/18/2014,Box Elder,Beigham city,grassy field near small irrigation ditch,10
07/13/2015 - 11:57am,6/19/2015,Box elder,bear river city and Tremonton,bird refuge/ marshes,9
07/28/2015 - 1:53pm,7/28/2015,Box Elder,Brigham City,Wetland/Pasture,0
06/20/2016 - 10:44pm,6/20/2016,Box Elder,Perry,Pasture,15
06/19/2017 - 10:39pm,6/19/2017,Box Elder,Brigham City,Pasture/wet meadow,2
06/21/2017 - 5:46pm,6/20/2017,Box Elder,Perry,Marshy pond behind house,10
06/25/2017 - 12:10am,6/21/2017,Box Elder,Brigham city,Pature,20
06/01/2018 - 12:21am,5/31/2018,Box elder,Brigham,Pasture and farm,1
06/03/2018 - 11:03pm,6/1/2018,box elder,perry,wetland/pasture,15
06/13/2019 - 1:43am,6/12/2019,Box Elder,Brigham City,Marsh/Pasture,25
06/27/2020 - 10:22pm,6/27/2020,Box Elder,Mantua,Marsh pasture,50
07/06/2020 - 4:39am,7/6/2020,Box Elder,Mantua,Orchard,3
06/21/2021 - 11:04pm,6/21/2021,Box Elder,Brigham City,Marsh pasture,30
06/18/2022 - 7:46pm,6/17/2022,Box elder,Brigham city,Pasture,10
04/30/2015 - 4:52pm,6/4/2014,Cache,Nibley,Wetland,3
06/12/2015 - 12:33pm,6/11/2015,Cache,Mendon,Pasture,20
06/13/2015 - 1:58pm,6/11/2015,Cache,Nibley,Marsh,7
06/16/2015 - 8:14am,6/15/2015,Cache,Nibley,Marsh,20
06/19/2015 - 6:10am,6/17/2015,Cache,Nibley,Wetland,100
07/02/2015 - 5:55pm,7/2/2015,Cache,Logan,Urban,
07/12/2015 - 9:55pm,6/25/2015,Cache,Nibley,Wetland,2
07/12/2015 - 11:26pm,7/11/2015,Cache,Mendon,Marsh/pasture,5
07/13/2015 - 12:09am,6/15/2015,Cache,Providence,Tall grass,
07/13/2015 - 12:14am,6/15/2015,Cache,Nibley,Tall grass,
07/13/2015 - 12:19pm,12/19/2014,Cache,Nibley,Wet pasture,
07/14/2015 - 8:24pm,6/7/2015,Cache,Mendon,Pasture,3
06/18/2016 - 11:24pm,6/18/2016,Cache,Mendon,"Farm, pasture",30
05/30/2017 - 8:54am,5/29/2017,Cache,Nibley,Marsh,100
06/17/2017 - 11:33pm,6/17/2017,Cache,Nibbley,Feild,2
06/24/2017 - 12:39am,6/23/2017,Cache,Smithfield ,Pasture marsh,5
06/25/2017 - 11:44pm,6/25/2017,Cache,Mendon,Cattails farm fields,2
06/06/2018 - 11:06pm,6/6/2018,Cache,Logan,Outside,
06/08/2018 - 11:27pm,6/8/2018,cache,Benson,Farm,4
06/14/2018 - 7:53pm,6/13/2018,Cache,Garden City,Wetlands near lake,5
06/16/2019 - 10:09pm,6/15/2019,Cache,Nibley,Marshland surrounding neighborhood park,3
06/19/2019 - 7:16am,6/18/2019,Cache,Mendon (southeast of),Farm near irrigation ditch,
06/25/2019 - 3:19pm,6/22/2019,Cache,Nibley,Grassy Wetland,1
06/20/2020 - 11:32pm,6/20/2020,Cache,North Logan,Grass,2
06/24/2020 - 3:08pm,6/23/2020,Cache,Nibley,Wet pasture,
06/29/2020 - 12:09pm,6/25/2020,Cache,Nibley,Wetland,3
